,Unnamed: 0,Make,Fuel,Model,Cnt,Emission,year
38,1212,ALFA ROMEO,PETROL,ALFA GIULIETTA,13175,176.0,2018
26,1034,ALFA ROMEO,DIESEL,ALFA GIULIETTA,15600,148.0,2019
17,644,ALFA ROMEO,DIESEL,ALFA GIULIETTA,26895,147.0,2018
18,857,ALFA ROMEO,DIESEL,GIULIA,19560,144.0,2018
39,1481,ALFA ROMEO,PETROL,STELVIO,10184,216.0,2018
33,1274,ALFA ROMEO,DIESEL,STELVIO,12233,166.0,2020
25,476,ALFA ROMEO,DIESEL,STELVIO,35732,169.0,2019
16,426,ALFA ROMEO,DIESEL,STELVIO,38710,175.0,2018
363,1043,AUDI,PETROL,A1,15440,134.0,2018
424,901,AUDI,PETROL,A1,18520,130.0,2019
364,1242,AUDI,PETROL,A1 SPORT NAV TFSI,12588,134.0,2018
584,604,AUDI,PETROL,A1 SPORTBACK,28714,136.0,2020
358,286,AUDI,PETROL,A1 SPORTBACK,57099,135.0,2018
418,148,AUDI,PETROL,A1 SPORTBACK,87793,135.0,2019
100,1062,AUDI,DIESEL,A3 LIMOUSINE,15062,138.0,2018
425,950,AUDI,PETROL,A3 LIMOUSINE,17590,145.0,2019
361,943,AUDI,PETROL,A3 LIMOUSINE,17752,141.0,2018
588,1238,AUDI,PETROL,A3 SPORTBACK,12643,134.0,2020
89,562,AUDI,DIESEL,A3 SPORTBACK,30270,142.0,2017
149,325,AUDI,DIESEL,A3 SPORTBACK,51368,143.0,2019
357,251,AUDI,PETROL,A3 SPORTBACK,62918,144.0,2018
93,247,AUDI,DIESEL,A3 SPORTBACK,64202,140.0,2018
421,236,AUDI,PETROL,A3 SPORTBACK,66714,147.0,2019
107,1470,AUDI,DIESEL,A4,10298,161.0,2018
102,1191,AUDI,DIESEL,A4 ALLROAD QUATTRO,13458,161.0,2018
589,1402,AUDI,PETROL,A4 AVANT,11003,159.0,2020
422,515,AUDI,PETROL,A4 AVANT,32846,163.0,2019
253,498,AUDI,DIESEL,A4 AVANT,34157,147.0,2020
359,440,AUDI,PETROL,A4 AVANT,37670,163.0,2018
91,139,AUDI,DIESEL,A4 AVANT,90256,151.0,2018
145,128,AUDI,DIESEL,A4 AVANT,95466,154.0,2019
155,1291,AUDI,DIESEL,A4 LIMOUSINE,12102,148.0,2019
101,1089,AUDI,DIESEL,A4 LIMOUSINE,14671,142.0,2018
362,991,AUDI,PETROL,A5 SPORTBACK,16478,155.0,2018
423,899,AUDI,PETROL,A5 SPORTBACK,18548,165.0,2019
153,723,AUDI,DIESEL,A5 SPORTBACK,23624,157.0,2019
97,668,AUDI,DIESEL,A5 SPORTBACK,25906,153.0,2018
104,1295,AUDI,DIESEL,A6 ALLROAD QUATTRO,12022,178.0,2018
99,965,AUDI,DIESEL,A6 AVANT,17071,180.0,2018
255,854,AUDI,DIESEL,A6 AVANT,19612,166.0,2020
96,349,AUDI,DIESEL,A6 AVANT,48237,194.0,2018
146,170,AUDI,DIESEL,A6 AVANT,81110,172.0,2019
105,1320,AUDI,DIESEL,A6 LIMOUSINE,11804,198.0,2018
103,1197,AUDI,DIESEL,A6 LIMOUSINE,13373,179.0,2018
152,688,AUDI,DIESEL,A6 LIMOUSINE,24988,164.0,2019
156,1300,AUDI,DIESEL,A6 S LINE 40 TDI S-A,11964,152.0,2019
326,739,AUDI,ELECTRIC,AUDI E-TRON,23177,0.0,2019
331,1462,AUDI,ELECTRIC,E-TRON 50,10387,0.0,2020
257,1024,AUDI,DIESEL,Q2,15796,155.0,2020
585,693,AUDI,PETROL,Q2,24705,147.0,2020
150,406,AUDI,DIESEL,Q2,40894,154.0,2019
94,322,AUDI,DIESEL,Q2,51931,153.0,2018
356,211,AUDI,PETROL,Q2,71924,144.0,2018
420,198,AUDI,PETROL,Q2,74188,152.0,2019
256,882,AUDI,DIESEL,Q3,18954,161.0,2020
586,800,AUDI,PETROL,Q3,20975,167.0,2020
360,494,AUDI,PETROL,Q3,34511,160.0,2018
95,337,AUDI,DIESEL,Q3,49467,142.0,2018
148,290,AUDI,DIESEL,Q3,56783,163.0,2019
419,169,AUDI,PETROL,Q3,81324,177.0,2019
587,1192,AUDI,PETROL,Q3 SPORTBACK,13456,172.0,2020
258,1081,AUDI,DIESEL,Q3 SPORTBACK,14733,166.0,2020
365,1392,AUDI,PETROL,Q5,11139,204.0,2018
254,807,AUDI,DIESEL,Q5,20752,185.0,2020
147,180,AUDI,DIESEL,Q5,78519,196.0,2019
92,159,AUDI,DIESEL,Q5,83832,194.0,2018
106,1364,AUDI,DIESEL,Q5 S LINE TDI QUATTRO S-A,11370,194.0,2018
154,912,AUDI,DIESEL,Q7,18294,225.0,2019
98,850,AUDI,DIESEL,Q7,19683,224.0,2018
151,686,AUDI,DIESEL,Q8,25076,225.0,2019
366,1406,AUDI,PETROL,SQ5,10918,243.0,2018
1113,1497,BMW,DIESEL,116D,10076,121.0,2019
1350,1269,BMW,DIESEL,116D,12273,121.0,2020
1095,818,BMW,DIESEL,116D,20493,145.0,2019
762,561,BMW,DIESEL,116D,30422,145.0,2018
1557,1045,BMW,PETROL,116I,15400,163.0,2018
1351,1310,BMW,DIESEL,118D,11877,130.0,2020
1096,955,BMW,DIESEL,118D,17292,147.0,2019
765,780,BMW,DIESEL,118D,21608,147.0,2018
1790,680,BMW,PETROL,118I,25301,141.0,2019
2043,467,BMW,PETROL,118I,36306,140.0,2020
1788,340,BMW,PETROL,118I,48899,171.0,2019
1554,296,BMW,PETROL,118I,55158,170.0,2018
1558,1148,BMW,PETROL,120I,13896,173.0,2018
1555,999,BMW,PETROL,218I ACTIVE TOURER,16272,154.0,2018
2223,1083,BMW,PETROL/ELECTRIC,225XE IPERFORMANCE,14719,67.0,2018
2248,775,BMW,PETROL/ELECTRIC,225XE IPERFORMANCE,21733,54.0,2019
1110,1417,BMW,DIESEL,318D,10824,154.0,2019
1107,1345,BMW,DIESEL,318D,11528,132.0,2019
769,1006,BMW,DIESEL,318D,16166,154.0,2018
1112,1486,BMW,DIESEL,320D,10144,158.0,2019
1352,1327,BMW,DIESEL,320D,11759,136.0,2020
767,924,BMW,DIESEL,320D,18020,157.0,2018
1093,730,BMW,DIESEL,320D,23336,137.0,2019
1103,1249,BMW,DIESEL,320D XDRIVE,12499,148.0,2019
1792,1046,BMW,PETROL,320I,15370,150.0,2019
2250,1063,BMW,PETROL/ELECTRIC,330E,15057,34.0,2019
1794,1182,BMW,PETROL,330I,13553,155.0,2019
1111,1463,BMW,DIESEL,420D,10362,154.0,2019
772,1296,BMW,DIESEL,420D,12018,156.0,2018
1796,1393,BMW,PETROL,420I,11121,178.0,2019
1098,1059,BMW,DIESEL,520D,15115,148.0,2019
770,1015,BMW,DIESEL,520D,16002,150.0,2018
1094,782,BMW,DIESEL,520D,21589,159.0,2019
764,704,BMW,DIESEL,520D,24284,160.0,2018
774,1312,BMW,DIESEL,520D XDRIVE,11847,169.0,2018
1104,1261,BMW,DIESEL,520D XDRIVE,12346,167.0,2019
1108,1356,BMW,DIESEL,530D XDRIVE,11425,188.0,2019
773,1304,BMW,DIESEL,530D XDRIVE,11906,188.0,2018
2224,1380,BMW,PETROL/ELECTRIC,530E IPERFORMANCE,11244,52.0,2018
2249,860,BMW,PETROL/ELECTRIC,530E IPERFORMANCE,19466,47.0,2019
2225,1473,BMW,PETROL/ELECTRIC,530E M SPORT AUTO,10250,52.0,2018
1540,508,BMW,ELECTRIC,I3,33477,0.0,2019
1541,1050,BMW,ELECTRIC,I3S,15268,0.0,2019
1797,1420,BMW,PETROL,M2 COMPETITION,10807,221.0,2019
775,1349,BMW,DIESEL,SERIE 1,11476,148.0,2018
768,985,BMW,DIESEL,SERIE X,16602,149.0,2018
780,1503,BMW,DIESEL,X1 SDRIVE 18D,10026,147.0,2018
1556,1025,BMW,PETROL,X1 SDRIVE 18I,15792,158.0,2018
777,1423,BMW,DIESEL,X1 SDRIVE16D,10756,135.0,2018
1102,1243,BMW,DIESEL,X1 SDRIVE16D,12552,134.0,2019
761,543,BMW,DIESEL,X1 SDRIVE18D,31226,148.0,2018
1091,507,BMW,DIESEL,X1 SDRIVE18D,33491,145.0,2019
1559,1158,BMW,PETROL,X1 SDRIVE18I,13788,157.0,2018
1789,522,BMW,PETROL,X1 SDRIVE18I,32322,156.0,2019
1791,939,BMW,PETROL,X1 SDRIVE20I,17830,167.0,2019
776,1385,BMW,DIESEL,X1 XDRIVE 20D,11206,157.0,2018
779,1492,BMW,DIESEL,X1 XDRIVE18D,10108,156.0,2018
1100,1110,BMW,DIESEL,X1 XDRIVE18D,14408,153.0,2019
1097,1037,BMW,DIESEL,X1 XDRIVE20D,15539,155.0,2019
771,1293,BMW,DIESEL,X2 SDRIVE18D,12094,144.0,2018
1101,1127,BMW,DIESEL,X2 SDRIVE18D,14153,143.0,2019
1793,1082,BMW,PETROL,X2 SDRIVE18I,14722,153.0,2019
1109,1372,BMW,DIESEL,X3 XDRIVE 20D,11304,179.0,2019
766,923,BMW,DIESEL,X3 XDRIVE 20D,18036,184.0,2018
778,1487,BMW,DIESEL,X3 XDRIVE 30D,10140,196.0,2018
763,702,BMW,DIESEL,X3 XDRIVE20D,24392,184.0,2018
1090,341,BMW,DIESEL,X3 XDRIVE20D,48748,180.0,2019
1795,1189,BMW,PETROL,X3 XDRIVE20I,13475,208.0,2019
1105,1284,BMW,DIESEL,X3 XDRIVE30D,12144,194.0,2019
1099,1085,BMW,DIESEL,X4 XDRIVE20D,14703,179.0,2019
1106,1322,BMW,DIESEL,X5 M50D,11774,223.0,2019
1092,516,BMW,DIESEL,X5 XDRIVE30D,32828,208.0,2019
2324,213,CHRYSLER,DIESEL,COMPASS,70518,172.0,2018
2330,1202,CHRYSLER,PETROL,RENEGADE,13310,166.0,2018
2325,250,CHRYSLER,DIESEL,RENEGADE,63010,161.0,2018
2340,1501,CITROEN,DIESEL,BERLINGO,10057,151.0,2018
2603,1411,CITROEN,PETROL,BERLINGO,10858,157.0,2020
2476,990,CITROEN,PETROL,BERLINGO,16500,147.0,2018
2337,632,CITROEN,DIESEL,BERLINGO,27614,152.0,2018
2425,537,CITROEN,DIESEL,BERLINGO,31354,146.0,2020
2529,485,CITROEN,PETROL,BERLINGO,35090,160.0,2019
2369,331,CITROEN,DIESEL,BERLINGO,50420,152.0,2019
2477,1132,CITROEN,PETROL,C1,14080,115.0,2018
2600,491,CITROEN,PETROL,C1,34689,109.0,2020
2473,222,CITROEN,PETROL,C1,69109,114.0,2018
2526,163,CITROEN,PETROL,C1,83085,112.0,2019
2426,648,CITROEN,DIESEL,C3,26673,116.0,2020
2333,151,CITROEN,DIESEL,C3,85596,120.0,2018
2366,147,CITROEN,DIESEL,C3,87929,120.0,2019
2598,86,CITROEN,PETROL,C3,118412,130.0,2020
2471,13,CITROEN,PETROL,C3,262563,134.0,2018
2524,1,CITROEN,PETROL,C3,324540,135.0,2019
2427,853,CITROEN,DIESEL,C3 AIRCROSS,19641,128.0,2020
2599,409,CITROEN,PETROL,C3 AIRCROSS,40792,143.0,2020
2335,348,CITROEN,DIESEL,C3 AIRCROSS,48247,132.0,2018
2368,321,CITROEN,DIESEL,C3 AIRCROSS,52066,132.0,2019
2525,72,CITROEN,PETROL,C3 AIRCROSS,127594,148.0,2019
2472,69,CITROEN,PETROL,C3 AIRCROSS,130394,150.0,2018
2479,1313,CITROEN,PETROL,C3 FLAIR PURETECH,11846,134.0,2018
2602,1355,CITROEN,PETROL,C4 CACTUS,11435,132.0,2020
2371,531,CITROEN,DIESEL,C4 CACTUS,31782,127.0,2019
2336,525,CITROEN,DIESEL,C4 CACTUS,32199,127.0,2018
2528,334,CITROEN,PETROL,C4 CACTUS,49798,138.0,2019
2474,300,CITROEN,PETROL,C4 CACTUS,54912,141.0,2018
2475,690,CITROEN,PETROL,C4 PICASSO,24773,202.0,2018
2334,346,CITROEN,DIESEL,C4 PICASSO,48412,179.0,2018
2478,1251,CITROEN,PETROL,C4 SPACETOURER,12488,145.0,2018
2428,1107,CITROEN,DIESEL,C4 SPACETOURER,14449,136.0,2020
2338,746,CITROEN,DIESEL,C4 SPACETOURER,23080,144.0,2018
2530,596,CITROEN,PETROL,C4 SPACETOURER,28930,148.0,2019
2370,389,CITROEN,DIESEL,C4 SPACETOURER,43200,140.0,2019
2601,1042,CITROEN,PETROL,C5 AIRCROSS,15456,155.0,2020
2424,510,CITROEN,DIESEL,C5 AIRCROSS,33261,143.0,2020
2527,315,CITROEN,PETROL,C5 AIRCROSS,52730,162.0,2019
2367,208,CITROEN,DIESEL,C5 AIRCROSS,72380,148.0,2019
2339,1134,CITROEN,DIESEL,JUMPY SPACE TOURER,14059,180.0,2018
2373,1267,CITROEN,DIESEL,JUMPY SPACETOURER,12306,186.0,2019
2531,1226,CITROEN,PETROL,NUEVO,12874,146.0,2019
2372,674,CITROEN,DIESEL,NUEVO,25602,150.0,2019
2684,1465,DACIA,LPG,DOKKER,10351,166.0,2018
2673,1196,DACIA,DIESEL,DOKKER,13405,138.0,2020
2750,1058,DACIA,PETROL,DOKKER,15133,158.0,2020
2649,651,DACIA,DIESEL,DOKKER,26603,142.0,2018
2658,579,DACIA,DIESEL,DOKKER,29538,142.0,2019
2701,402,DACIA,PETROL,DOKKER,41177,174.0,2018
2720,391,DACIA,PETROL,DOKKER,43012,169.0,2019
2703,1053,DACIA,PETROL,DUSTER,15209,144.0,2018
2683,682,DACIA,LPG,DUSTER,25190,166.0,2018
2693,551,DACIA,LPG,DUSTER,30779,135.0,2020
2648,504,DACIA,DIESEL,DUSTER,33671,116.0,2018
2748,479,DACIA,PETROL,DUSTER,35417,150.0,2020
2697,449,DACIA,PETROL,DUSTER,37360,165.0,2017
2671,302,DACIA,DIESEL,DUSTER,54805,137.0,2020
2687,253,DACIA,LPG,DUSTER,62598,163.0,2019
2699,105,DACIA,PETROL,DUSTER,105867,177.0,2018
2718,38,DACIA,PETROL,DUSTER,175304,168.0,2019
2656,36,DACIA,DIESEL,DUSTER,176084,142.0,2019
2646,33,DACIA,DIESEL,DUSTER,179119,144.0,2018
2651,838,DACIA,DIESEL,LODGY,19996,138.0,2018
2659,802,DACIA,DIESEL,LODGY,20940,139.0,2019
2721,639,DACIA,PETROL,LODGY,27168,163.0,2019
2702,600,DACIA,PETROL,LODGY,28814,167.0,2018
2660,809,DACIA,DIESEL,LOGAN,20738,121.0,2019
2749,778,DACIA,PETROL,LOGAN,21652,135.0,2020
2650,762,DACIA,DIESEL,LOGAN,22186,121.0,2018
2700,183,DACIA,PETROL,LOGAN,77021,143.0,2018
2719,138,DACIA,PETROL,LOGAN,90434,143.0,2019
2672,763,DACIA,DIESEL,SANDERO,22156,124.0,2020
2692,503,DACIA,LPG,SANDERO,33717,123.0,2020
2688,441,DACIA,LPG,SANDERO,37646,132.0,2019
2682,384,DACIA,LPG,SANDERO,43490,137.0,2018
2657,298,DACIA,DIESEL,SANDERO,55014,124.0,2019
2647,215,DACIA,DIESEL,SANDERO,70082,124.0,2018
2747,136,DACIA,PETROL,SANDERO,91579,137.0,2020
2698,4,DACIA,PETROL,SANDERO,308575,147.0,2018
2717,2,DACIA,PETROL,SANDERO,321984,146.0,2019
2798,957,DS,PETROL,DS 3,17245,149.0,2018
2804,1119,DS,PETROL,DS 3 CROSSBACK,14290,139.0,2019
2805,1140,DS,PETROL,DS 7 CROSSBACK,13964,171.0,2019
2774,974,DS,DIESEL,DS 7 CROSSBACK,16888,166.0,2018
2781,629,DS,DIESEL,DS 7 CROSSBACK,27704,159.0,2019
3063,736,FIAT,PETROL,500,23229,129.0,2020
2932,362,FIAT,PETROL,500,46630,141.0,2018
2997,160,FIAT,PETROL,500,83629,138.0,2019
2943,1340,FIAT,PETROL,500 ABARTH,11620,165.0,2018
3004,816,FIAT,PETROL,500 LOUNGE,20522,138.0,2019
2936,593,FIAT,PETROL,500 LOUNGE,29210,141.0,2018
2876,1079,FIAT,DIESEL,500X,14832,143.0,2019
2856,941,FIAT,DIESEL,500X,17788,143.0,2018
2939,896,FIAT,PETROL,500X,18667,154.0,2018
3000,394,FIAT,PETROL,500X,42330,158.0,2019
3005,836,FIAT,PETROL,ABARTH 500,20014,169.0,2019
2905,1494,FIAT,LPG,FIAT 500,10092,133.0,2019
2901,1297,FIAT,LPG,FIAT 500,12004,138.0,2018
2930,266,FIAT,PETROL,FIAT 500,60876,142.0,2018
3062,178,FIAT,PETROL,FIAT 500,78681,126.0,2020
2929,56,FIAT,PETROL,FIAT 500,141160,144.0,2018
2996,30,FIAT,PETROL,FIAT 500,187501,137.0,2019
3067,1458,FIAT,PETROL,FIAT 500L,10434,169.0,2020
2942,1117,FIAT,PETROL,FIAT 500L,14304,187.0,2018
2940,929,FIAT,PETROL,FIAT 500L,17952,184.0,2018
3002,634,FIAT,PETROL,FIAT 500L,27506,180.0,2019
2874,473,FIAT,DIESEL,FIAT 500L,35828,139.0,2019
2854,448,FIAT,DIESEL,FIAT 500L,37366,141.0,2018
2857,1060,FIAT,DIESEL,FIAT 500X,15088,143.0,2018
2938,837,FIAT,PETROL,FIAT 500X,20010,161.0,2018
2888,823,FIAT,DIESEL,FIAT 500X,20323,133.0,2020
3064,801,FIAT,PETROL,FIAT 500X,20940,151.0,2020
2935,559,FIAT,PETROL,FIAT 500X,30464,160.0,2018
2872,287,FIAT,DIESEL,FIAT 500X,56938,139.0,2019
2999,276,FIAT,PETROL,FIAT 500X,58467,160.0,2019
2852,232,FIAT,DIESEL,FIAT 500X,67488,140.0,2018
2937,793,FIAT,PETROL,FIAT PANDA,21166,145.0,2018
3003,783,FIAT,PETROL,FIAT PANDA,21564,146.0,2019
2858,1350,FIAT,DIESEL,FIAT TIPO,11472,142.0,2018
2889,1307,FIAT,DIESEL,FIAT TIPO,11898,130.0,2020
2941,976,FIAT,PETROL,FIAT TIPO,16856,174.0,2018
3065,868,FIAT,PETROL,FIAT TIPO,19300,161.0,2020
2933,432,FIAT,PETROL,FIAT TIPO,38206,171.0,2018
2873,397,FIAT,DIESEL,FIAT TIPO,41627,135.0,2019
2853,323,FIAT,DIESEL,FIAT TIPO,51812,139.0,2018
2998,229,FIAT,PETROL,FIAT TIPO,67594,166.0,2019
2911,1426,FIAT,LPG,PANDA,10729,133.0,2020
2915,1239,FIAT,NG,PANDA,12640,127.0,2018
2904,381,FIAT,LPG,PANDA,43926,135.0,2019
2931,312,FIAT,PETROL,PANDA,53252,147.0,2018
2900,264,FIAT,LPG,PANDA,60958,140.0,2018
3061,85,FIAT,PETROL,PANDA,118816,134.0,2020
2928,37,FIAT,PETROL,PANDA,175748,145.0,2018
2995,9,FIAT,PETROL,PANDA,280851,144.0,2019
2877,1325,FIAT,DIESEL,TALENTO,11764,188.0,2019
3066,1348,FIAT,PETROL,TIPO,11501,157.0,2020
2855,844,FIAT,DIESEL,TIPO,19892,138.0,2018
2875,695,FIAT,DIESEL,TIPO,24686,127.0,2019
3001,549,FIAT,PETROL,TIPO,30926,168.0,2019
2934,484,FIAT,PETROL,TIPO,35132,180.0,2018
3109,858,FORD,DIESEL,C-MAX,19538,157.0,2018
3566,544,FORD,PETROL,C-MAX,31212,164.0,2019
3456,439,FORD,PETROL,C-MAX,37766,158.0,2018
3225,647,FORD,DIESEL,ECOSPORT,26828,137.0,2019
3702,558,FORD,PETROL,ECOSPORT,30466,141.0,2020
3105,442,FORD,DIESEL,ECOSPORT,37568,138.0,2018
3450,75,FORD,PETROL,ECOSPORT,125162,150.0,2018
3563,44,FORD,PETROL,ECOSPORT,159291,151.0,2019
3464,1173,FORD,PETROL,ECOSPORT ST-LINE,13636,150.0,2018
3570,881,FORD,PETROL,ECOSPORT ST-LINE,18958,149.0,2019
3467,1259,FORD,PETROL,ECOSPORT TITANIUM,12396,147.0,2018
3577,1157,FORD,PETROL,ECOSPORT TITANIUM,13814,147.0,2019
3226,1155,FORD,DIESEL,EDGE,13828,200.0,2019
3112,1135,FORD,DIESEL,EDGE,14028,204.0,2018
3368,1247,FORD,DIESEL,FIESTA,12519,116.0,2020
3222,535,FORD,DIESEL,FIESTA,31561,128.0,2019
3103,254,FORD,DIESEL,FIESTA,62507,128.0,2018
3700,158,FORD,PETROL,FIESTA,84491,123.0,2020
3561,15,FORD,PETROL,FIESTA,249353,135.0,2019
3449,11,FORD,PETROL,FIESTA,266176,135.0,2018
3567,578,FORD,PETROL,FIESTA ST-LINE TURBO,29608,132.0,2019
3458,533,FORD,PETROL,FIESTA ST-LINE TURBO,31632,132.0,2018
3571,883,FORD,PETROL,FIESTA TITANIUM TURBO,18942,128.0,2019
3459,570,FORD,PETROL,FIESTA TITANIUM TURBO,30042,128.0,2018
3581,1399,FORD,PETROL,FIESTA TREND,11022,130.0,2019
3572,890,FORD,PETROL,FIESTA ZETEC,18800,131.0,2019
3455,430,FORD,PETROL,FIESTA ZETEC,38290,131.0,2018
3573,946,FORD,PETROL,FIESTA ZETEC TURBO,17718,127.0,2019
3457,457,FORD,PETROL,FIESTA ZETEC TURBO,36822,128.0,2018
3107,640,FORD,DIESEL,FOCUS,27097,129.0,2018
3365,343,FORD,DIESEL,FOCUS,48575,125.0,2020
3454,307,FORD,PETROL,FOCUS,53574,135.0,2018
3701,186,FORD,PETROL,FOCUS,76543,135.0,2020
3102,184,FORD,DIESEL,FOCUS,76897,144.0,2018
3218,107,FORD,DIESEL,FOCUS,104019,130.0,2019
3451,93,FORD,PETROL,FOCUS,113993,139.0,2018
3562,21,FORD,PETROL,FOCUS,209341,141.0,2019
3569,872,FORD,PETROL,FOCUS ST-LINE,19124,131.0,2019
3578,1221,FORD,PETROL,FOCUS ST-LINE X,12958,137.0,2019
3575,1093,FORD,PETROL,FOCUS TITANIUM,14600,129.0,2019
3227,1271,FORD,DIESEL,GALAXY,12250,173.0,2019
3113,1264,FORD,DIESEL,GALAXY,12323,171.0,2018
3463,1172,FORD,PETROL,GRAND C-MAX,13645,169.0,2018
