,Unnamed: 0,Make,Fuel,Model,Cnt,Emission,year
3466,1244,FORD,PETROL,KA,12545,135.0,2018
3565,203,FORD,PETROL,KA,73336,137.0,2019
3579,1273,FORD,PETROL,KA ZETEC,12236,132.0,2019
3453,271,FORD,PETROL,KA+,59365,136.0,2018
3462,984,FORD,PETROL,KA+ ZETEC,16630,132.0,2018
3703,1154,FORD,PETROL,KUGA,13831,152.0,2020
3443,1106,FORD,E85,KUGA,14452,194.0,2019
3801,904,FORD,PETROL/ELECTRIC,KUGA,18500,36.0,2020
3366,726,FORD,DIESEL,KUGA,23454,143.0,2020
3219,161,FORD,DIESEL,KUGA,83331,180.0,2019
3452,114,FORD,PETROL,KUGA,101546,192.0,2018
3101,99,FORD,DIESEL,KUGA,111078,186.0,2018
3564,71,FORD,PETROL,KUGA,128221,189.0,2019
3582,1459,FORD,PETROL,KUGA ST-LINE,10428,184.0,2019
3230,1437,FORD,DIESEL,KUGA TITANIUM EDITION TDCI,10618,172.0,2019
3111,1005,FORD,DIESEL,KUGA TITANIUM TDCI,16194,174.0,2018
3369,1331,FORD,DIESEL,MONDEO,11700,146.0,2020
3576,1099,FORD,PETROL,MONDEO,14554,183.0,2019
3461,876,FORD,PETROL,MONDEO,19073,182.0,2018
3220,460,FORD,DIESEL,MONDEO,36792,154.0,2019
3104,350,FORD,DIESEL,MONDEO,48202,163.0,2018
3465,1228,FORD,PETROL,MUSTANG,12856,256.0,2018
3574,1020,FORD,PETROL,MUSTANG,15880,256.0,2019
3699,155,FORD,PETROL,PUMA,84611,129.0,2020
3371,1415,FORD,DIESEL,S-MAX,10830,170.0,2020
3106,599,FORD,DIESEL,S-MAX,28854,171.0,2018
3221,530,FORD,DIESEL,S-MAX,31838,171.0,2019
3580,1395,FORD,PETROL,TOURNEO,11084,154.0,2019
3114,1388,FORD,DIESEL,TOURNEO CONNECT,11161,164.0,2018
3228,1338,FORD,DIESEL,TOURNEO CONNECT,11645,163.0,2019
3460,840,FORD,PETROL,TOURNEO COURIER,19968,154.0,2018
3568,839,FORD,PETROL,TOURNEO COURIER,19972,153.0,2019
3367,1175,FORD,DIESEL,TOURNEO CUSTOM,13624,216.0,2020
3110,887,FORD,DIESEL,TOURNEO CUSTOM,18848,229.0,2018
3223,554,FORD,DIESEL,TOURNEO CUSTOM,30631,225.0,2019
3229,1401,FORD,DIESEL,TRANSIT,11008,244.0,2019
3370,1408,FORD,DIESEL,TRANSIT CUSTOM,10879,210.0,2020
3108,727,FORD,DIESEL,TRANSIT CUSTOM,23432,214.0,2018
3224,590,FORD,DIESEL,TRANSIT CUSTOM,29275,210.0,2019
3896,968,HONDA,PETROL,CIVIC 5DR,16986,150.0,2019
3842,598,HONDA,PETROL,CIVIC 5DR,28875,147.0,2018
3893,505,HONDA,PETROL,CR-V,33607,171.0,2019
3894,597,HONDA,PETROL,HR-V,28898,152.0,2019
3841,584,HONDA,PETROL,HR-V,29442,150.0,2018
3895,698,HONDA,PETROL,JAZZ,24482,136.0,2019
3840,556,HONDA,PETROL,JAZZ,30492,136.0,2018
4222,1122,HYUNDAI,PETROL,HYUNDAI TUCSON,14266,181.0,2019
4223,1240,HYUNDAI,PETROL,I 10,12610,133.0,2019
4138,1217,HYUNDAI,PETROL,I 10,13039,132.0,2018
4218,761,HYUNDAI,PETROL,I 20,22270,137.0,2019
4134,745,HYUNDAI,PETROL,I 20,23100,135.0,2018
4001,1270,HYUNDAI,DIESEL,I 30,12265,123.0,2018
4029,1084,HYUNDAI,DIESEL,I 30,14710,124.0,2019
4303,678,HYUNDAI,PETROL,I 30,25341,140.0,2020
4124,234,HYUNDAI,PETROL,I 30,66843,147.0,2018
4208,189,HYUNDAI,PETROL,I 30,75788,145.0,2019
4221,906,HYUNDAI,PETROL,I 30 N,18496,187.0,2019
4301,605,HYUNDAI,PETROL,I10,28698,119.0,2020
4123,118,HYUNDAI,PETROL,I10,99882,132.0,2018
4207,115,HYUNDAI,PETROL,I10,100949,133.0,2019
4139,1308,HYUNDAI,PETROL,I10 GO SE,11888,127.0,2018
4224,1450,HYUNDAI,PETROL,I10 SE,10492,130.0,2019
4136,1016,HYUNDAI,PETROL,I10 SE,15984,128.0,2018
4307,1052,HYUNDAI,PETROL,I20,15221,132.0,2020
4212,339,HYUNDAI,PETROL,I20,48928,134.0,2019
4126,279,HYUNDAI,PETROL,I20,58243,136.0,2018
4140,1428,HYUNDAI,PETROL,I20 ACTIVE,10712,135.0,2018
4306,1000,HYUNDAI,PETROL,I20 I20 ACTIVE,16253,132.0,2020
4209,194,HYUNDAI,PETROL,I20 I20 ACTIVE,74707,135.0,2019
4125,258,HYUNDAI,PETROL,"I20, I20 ACTIVE",62017,134.0,2018
4002,1328,HYUNDAI,DIESEL,I30,11750,122.0,2018
4217,742,HYUNDAI,PETROL,I30,23132,143.0,2019
4131,499,HYUNDAI,PETROL,I30,34098,146.0,2018
4085,1391,HYUNDAI,ELECTRIC,IONIQ,11140,0.0,2018
4090,982,HYUNDAI,ELECTRIC,IONIQ,16653,0.0,2019
4220,874,HYUNDAI,PETROL,IONIQ,19101,104.0,2019
4135,830,HYUNDAI,PETROL,IONIQ,20145,104.0,2018
4219,797,HYUNDAI,PETROL,IX20,21072,178.0,2019
4133,677,HYUNDAI,PETROL,IX20,25362,182.0,2018
4101,1475,HYUNDAI,ELECTRIC,KONA,10245,0.0,2020
4032,1429,HYUNDAI,DIESEL,KONA,10711,136.0,2019
4100,1075,HYUNDAI,ELECTRIC,KONA,14892,0.0,2020
4089,625,HYUNDAI,ELECTRIC,KONA,27783,0.0,2019
4302,620,HYUNDAI,PETROL,KONA,27889,133.0,2020
4129,396,HYUNDAI,PETROL,KONA,41681,153.0,2018
4211,283,HYUNDAI,PETROL,KONA,57788,145.0,2019
4091,1471,HYUNDAI,ELECTRIC,KONA KAUAI,10284,0.0,2019
4030,1257,HYUNDAI,DIESEL,KONA KAUAI,12404,133.0,2019
4304,926,HYUNDAI,PETROL,KONA KAUAI,18003,144.0,2020
4210,274,HYUNDAI,PETROL,KONA KAUAI,58571,150.0,2019
4137,1177,HYUNDAI,PETROL,"KONA,",13618,145.0,2018
4127,371,HYUNDAI,PETROL,"KONA, KAUAI",45294,155.0,2018
4031,1370,HYUNDAI,DIESEL,SANTA FE,11327,187.0,2019
4308,1223,HYUNDAI,PETROL,TUCSON,12928,181.0,2020
4064,964,HYUNDAI,DIESEL,TUCSON,17117,150.0,2020
4028,477,HYUNDAI,DIESEL,TUCSON,35511,159.0,2019
4000,435,HYUNDAI,DIESEL,TUCSON,37912,162.0,2018
4214,423,HYUNDAI,PETROL,TUCSON,39032,184.0,2019
4130,412,HYUNDAI,PETROL,TUCSON,40603,184.0,2018
4065,1139,HYUNDAI,DIESEL,TUCSON IX35,13972,152.0,2020
4305,995,HYUNDAI,PETROL,TUCSON IX35,16400,181.0,2020
4128,393,HYUNDAI,PETROL,TUCSON IX35,42516,184.0,2018
4213,376,HYUNDAI,PETROL,TUCSON IX35,44272,183.0,2019
4216,667,HYUNDAI,PETROL,TUCSON SE NAV GDI 2WD,25910,183.0,2019
4132,622,HYUNDAI,PETROL,"TUCSON,IX35",27842,183.0,2018
3999,278,HYUNDAI,DIESEL,"TUCSON,IX35",58402,155.0,2018
4215,603,HYUNDAI,PETROL,TUCSONIX35,28716,183.0,2019
4027,378,HYUNDAI,DIESEL,TUCSONIX35,44159,152.0,2019
4396,1019,JAGUAR,DIESEL,JAGUAR E-PACE,15918,193.0,2018
4439,919,JAGUAR,DIESEL,JAGUAR E-PACE,18078,192.0,2019
4440,1442,JAGUAR,DIESEL,JAGUAR F-PACE,10566,189.0,2019
4395,1004,JAGUAR,DIESEL,JAGUAR F-PACE,16195,192.0,2018
4504,1286,JAGUAR,ELECTRIC,JAGUAR I-PACE,12130,0.0,2019
4612,784,JEEP,DIESEL,COMPASS,21501,169.0,2020
4618,550,JEEP,PETROL,COMPASS,30898,192.0,2018
4586,509,JEEP,DIESEL,COMPASS,33294,176.0,2018
4633,417,JEEP,PETROL,COMPASS,40114,185.0,2019
4594,175,JEEP,DIESEL,COMPASS,79598,171.0,2019
4611,660,JEEP,DIESEL,RENEGADE,26292,152.0,2020
4587,652,JEEP,DIESEL,RENEGADE,26562,163.0,2018
4648,602,JEEP,PETROL,RENEGADE,28717,157.0,2020
4619,565,JEEP,PETROL,RENEGADE,30172,165.0,2018
4632,185,JEEP,PETROL,RENEGADE,76555,164.0,2019
4595,176,JEEP,DIESEL,RENEGADE,79498,159.0,2019
4666,1181,KIA,DIESEL,CARENS,13560,110.0,2018
4795,1096,KIA,PETROL,CEE'D,14586,181.0,2018
4699,805,KIA,DIESEL,CEED,20827,129.0,2019
4792,646,KIA,PETROL,CEED,26832,166.0,2018
4791,617,KIA,PETROL,CEED,27994,143.0,2018
4969,489,KIA,PETROL,CEED,34879,139.0,2020
4856,90,KIA,PETROL,CEED,114763,145.0,2019
5052,1434,KIA,PETROL/ELECTRIC,NIRO,10647,31.0,2020
5045,1101,KIA,PETROL/ELECTRIC,NIRO,14532,39.0,2018
4759,936,KIA,ELECTRIC,NIRO,17862,0.0,2019
5048,917,KIA,PETROL/ELECTRIC,NIRO,18166,36.0,2019
4971,756,KIA,PETROL,NIRO,22431,113.0,2020
4766,735,KIA,ELECTRIC,NIRO,23237,0.0,2020
4790,351,KIA,PETROL,NIRO,48148,113.0,2018
4861,282,KIA,PETROL,NIRO,57876,113.0,2019
4667,1489,KIA,DIESEL,OPTIMA,10132,139.0,2018
5049,1438,KIA,PETROL/ELECTRIC,OPTIMA,10616,34.0,2019
4968,474,KIA,PETROL,PICANTO,35753,121.0,2020
4857,111,KIA,PETROL,PICANTO,102309,128.0,2019
4786,102,KIA,PETROL,PICANTO,108772,129.0,2018
4974,1396,KIA,PETROL,PROCEED,11065,155.0,2020
4862,627,KIA,PETROL,PROCEED,27735,155.0,2019
4970,654,KIA,PETROL,RIO,26439,135.0,2020
4860,275,KIA,PETROL,RIO,58556,139.0,2019
4789,255,KIA,PETROL,RIO,62358,139.0,2018
4700,1190,KIA,DIESEL,SORENTO,13472,189.0,2019
4665,1111,KIA,DIESEL,SORENTO,14390,191.0,2018
4973,829,KIA,PETROL,SPORTAGE,20169,182.0,2020
4745,683,KIA,DIESEL,SPORTAGE,25147,150.0,2020
4788,209,KIA,PETROL,SPORTAGE,72372,186.0,2018
4698,205,KIA,DIESEL,SPORTAGE,73198,158.0,2019
4859,192,KIA,PETROL,SPORTAGE,74902,185.0,2019
4663,133,KIA,DIESEL,SPORTAGE,93062,163.0,2018
4863,978,KIA,PETROL,SPORTAGE 2 ISG,16790,183.0,2019
4794,938,KIA,PETROL,SPORTAGE 2 ISG,17838,183.0,2018
4664,986,KIA,DIESEL,STONIC,16596,129.0,2018
4967,431,KIA,PETROL,STONIC,38260,138.0,2020
4787,197,KIA,PETROL,STONIC,74442,141.0,2018
4858,132,KIA,PETROL,STONIC,94077,140.0,2019
4864,1068,KIA,PETROL,VENGA,15019,178.0,2019
4793,811,KIA,PETROL,VENGA,20700,175.0,2018
4865,1171,KIA,PETROL,XCEED,13675,152.0,2019
4972,759,KIA,PETROL,XCEED,22365,151.0,2020
5099,506,LANCIA,PETROL,YPSILON,33590,133.0,2020
5092,459,LANCIA,LPG,YPSILON,36816,132.0,2019
5091,345,LANCIA,LPG,YPSILON,48482,137.0,2018
5097,238,LANCIA,PETROL,YPSILON,66112,140.0,2018
5098,181,LANCIA,PETROL,YPSILON,77986,139.0,2019
5168,973,LAND ROVER,DIESEL,DISCOVERY SPORT,16892,200.0,2019
5101,722,LAND ROVER,DIESEL,DISCOVERY SPORT,23732,203.0,2018
5170,1290,LAND ROVER,DIESEL,DISCOVERY SPORT LANDMARK TD4 A,12114,205.0,2019
5171,1478,LAND ROVER,DIESEL,RANGE ROVER EVOQUE,10192,197.0,2019
5244,1213,LAND ROVER,DIESEL,RANGE ROVER EVOQUE,13174,180.0,2020
5166,664,LAND ROVER,DIESEL,RANGE ROVER EVOQUE,26044,183.0,2019
5100,433,LAND ROVER,DIESEL,RANGE ROVER EVOQUE,38034,195.0,2018
5169,1241,LAND ROVER,DIESEL,RANGE ROVER SPORT,12598,243.0,2019
5103,979,LAND ROVER,DIESEL,RANGE ROVER SPORT,16749,244.0,2018
5167,930,LAND ROVER,DIESEL,RANGE ROVER VELAR,17952,197.0,2019
5102,804,LAND ROVER,DIESEL,RANGE ROVER VELAR,20873,196.0,2018
5399,1359,LEXUS,PETROL,LEXUS CT200H,11413,117.0,2018
5434,1347,LEXUS,PETROL,LEXUS NX300H,11505,169.0,2019
5398,733,LEXUS,PETROL,LEXUS NX300H,23315,169.0,2018
5435,1377,LEXUS,PETROL,NX300H,11287,166.0,2019
5699,1116,MAZDA,PETROL,3,14308,143.0,2019
5642,706,MAZDA,PETROL,CX-3,24191,159.0,2018
5693,534,MAZDA,PETROL,CX-3,31614,155.0,2019
5584,1319,MAZDA,DIESEL,CX-5,11806,173.0,2018
5643,878,MAZDA,PETROL,CX-5,19033,169.0,2018
5695,653,MAZDA,PETROL,CX-5,26524,175.0,2019
5585,1460,MAZDA,DIESEL,MAZDA CX-3,10416,144.0,2018
5638,295,MAZDA,PETROL,MAZDA CX-3,55334,155.0,2018
5690,263,MAZDA,PETROL,MAZDA CX-3,61064,156.0,2019
5696,962,MAZDA,PETROL,MAZDA CX-30,17126,146.0,2019
5786,637,MAZDA,PETROL,MAZDA CX-30,27390,144.0,2020
5787,1321,MAZDA,PETROL,MAZDA CX-5,11775,177.0,2020
5600,897,MAZDA,DIESEL,MAZDA CX-5,18634,176.0,2019
5583,792,MAZDA,DIESEL,MAZDA CX-5,21206,175.0,2018
5691,367,MAZDA,PETROL,MAZDA CX-5,45842,180.0,2019
5639,336,MAZDA,PETROL,MAZDA CX-5,49564,180.0,2018
5644,1123,MAZDA,PETROL,MAZDA MX-5,14254,153.0,2018
5698,1104,MAZDA,PETROL,MAZDA MX-5,14486,152.0,2019
5641,539,MAZDA,PETROL,MAZDA2,31342,125.0,2018
5692,414,MAZDA,PETROL,MAZDA2,40424,125.0,2019
5694,555,MAZDA,PETROL,MAZDA3,30604,143.0,2019
5640,524,MAZDA,PETROL,MAZDA3,32238,163.0,2018
5645,1289,MAZDA,PETROL,MAZDA6,12114,165.0,2018
5697,1098,MAZDA,PETROL,MAZDA6,14566,164.0,2019
6116,1180,MERCEDES-BENZ,DIESEL,A 180,13584,125.0,2019
7191,870,MERCEDES-BENZ,PETROL,A 180,19207,138.0,2020
6870,407,MERCEDES-BENZ,PETROL,A 180,40865,141.0,2019
5863,1378,MERCEDES-BENZ,DIESEL,A 180 D,11262,126.0,2018
6407,856,MERCEDES-BENZ,DIESEL,A 180 D,19562,120.0,2020
5847,528,MERCEDES-BENZ,DIESEL,A 180 D,32117,125.0,2018
6103,206,MERCEDES-BENZ,DIESEL,A 180 D,72828,124.0,2019
7192,1205,MERCEDES-BENZ,PETROL,A 200,13275,139.0,2020
6871,447,MERCEDES-BENZ,PETROL,A 200,37412,143.0,2019
6621,403,MERCEDES-BENZ,PETROL,A 200,41087,144.0,2018
6121,1502,MERCEDES-BENZ,DIESEL,A 200 D,10047,132.0,2019
6876,1072,MERCEDES-BENZ,PETROL,A 220,14947,161.0,2019
7377,918,MERCEDES-BENZ,PETROL/ELECTRIC,A 250 E,18126,26.0,2020
6624,822,MERCEDES-BENZ,PETROL,B 180,20326,165.0,2018
6872,527,MERCEDES-BENZ,PETROL,B 180,32141,143.0,2019
6108,725,MERCEDES-BENZ,DIESEL,B 180 D,23470,125.0,2019
6628,1333,MERCEDES-BENZ,PETROL,B 200,11660,172.0,2018
6873,871,MERCEDES-BENZ,PETROL,B 200,19206,145.0,2019
6118,1287,MERCEDES-BENZ,DIESEL,B 200 D,12123,134.0,2019
6629,1403,MERCEDES-BENZ,PETROL,C 180,10994,173.0,2018
6874,907,MERCEDES-BENZ,PETROL,C 180,18449,167.0,2019
6623,758,MERCEDES-BENZ,PETROL,C 180,22378,168.0,2018
6625,1179,MERCEDES-BENZ,PETROL,C 200,13598,158.0,2018
6877,1092,MERCEDES-BENZ,PETROL,C 200,14625,160.0,2019
6119,1368,MERCEDES-BENZ,DIESEL,C 200 D,11336,143.0,2019
6113,1078,MERCEDES-BENZ,DIESEL,C 220 D,14835,147.0,2019
6110,885,MERCEDES-BENZ,DIESEL,C 220 D,18911,150.0,2019
5855,832,MERCEDES-BENZ,DIESEL,C 220 D,20140,153.0,2018
5850,720,MERCEDES-BENZ,DIESEL,C 220 D,23754,148.0,2018
6627,1265,MERCEDES-BENZ,PETROL,CLA 180,12320,166.0,2018
6631,1506,MERCEDES-BENZ,PETROL,CLA 200,10014,172.0,2018
5858,1133,MERCEDES-BENZ,DIESEL,CLASSE A,14072,127.0,2018
6875,1008,MERCEDES-BENZ,PETROL,CLASSE A,16106,148.0,2019
6107,703,MERCEDES-BENZ,DIESEL,CLASSE A,24298,128.0,2019
5862,1309,MERCEDES-BENZ,DIESEL,CLASSE C,11878,149.0,2018
5864,1384,MERCEDES-BENZ,DIESEL,CLASSE GLA,11208,168.0,2018
6111,956,MERCEDES-BENZ,DIESEL,CLASSE GLC,17264,182.0,2019
5854,820,MERCEDES-BENZ,DIESEL,CLASSE GLC,20418,189.0,2018
6117,1262,MERCEDES-BENZ,DIESEL,E 200 D,12343,145.0,2019
5859,1162,MERCEDES-BENZ,DIESEL,E 200 D,13747,147.0,2018
6115,1141,MERCEDES-BENZ,DIESEL,E 220 D,13955,154.0,2019
6112,1067,MERCEDES-BENZ,DIESEL,E 220 D,15028,163.0,2019
5856,862,MERCEDES-BENZ,DIESEL,E 220 D,19436,154.0,2018
5852,766,MERCEDES-BENZ,DIESEL,E 220 D,22074,164.0,2018
6577,1218,MERCEDES-BENZ,DIESEL/ELECTRIC,E 300 DE,13018,58.0,2019
6611,1485,MERCEDES-BENZ,ELECTRIC,EQC 400 4MATIC,10157,0.0,2020
6630,1484,MERCEDES-BENZ,PETROL,GLA 180,10164,168.0,2018
6881,1414,MERCEDES-BENZ,PETROL,GLA 180,10830,168.0,2019
6879,1165,MERCEDES-BENZ,PETROL,GLA 180,13732,168.0,2019
6878,1153,MERCEDES-BENZ,PETROL,GLA 180 URBAN EDITION AUTO,13852,169.0,2019
6114,1137,MERCEDES-BENZ,DIESEL,GLC,14012,182.0,2019
6408,959,MERCEDES-BENZ,DIESEL,GLC 220 D 4MATIC,17149,165.0,2020
6109,852,MERCEDES-BENZ,DIESEL,GLC 220 D 4MATIC,19648,178.0,2019
5853,815,MERCEDES-BENZ,DIESEL,GLC 220 D 4MATIC,20522,186.0,2018
6106,699,MERCEDES-BENZ,DIESEL,GLC 220 D 4MATIC,24461,173.0,2019
5848,582,MERCEDES-BENZ,DIESEL,GLC 220 D 4MATIC,29447,189.0,2018
6880,1336,MERCEDES-BENZ,PETROL,GLC 250 4MATIC,11651,212.0,2019
6626,1258,MERCEDES-BENZ,PETROL,GLC 250 4MATIC,12396,212.0,2018
6622,740,MERCEDES-BENZ,PETROL,GLC 250 4MATIC,23152,210.0,2018
6120,1477,MERCEDES-BENZ,DIESEL,GLC 250 D 4MATIC,10214,188.0,2019
5861,1266,MERCEDES-BENZ,DIESEL,GLC 250 D 4MATIC,12307,189.0,2018
5860,1227,MERCEDES-BENZ,DIESEL,GLC 250 D 4MATIC,12856,187.0,2018
5857,944,MERCEDES-BENZ,DIESEL,GLC 250 D 4MATIC,17732,186.0,2018
7378,1472,MERCEDES-BENZ,PETROL/ELECTRIC,GLC 300 E 4MATIC,10264,56.0,2020
5851,748,MERCEDES-BENZ,DIESEL,GLE 350 D 4MATIC,23061,242.0,2018
6406,843,MERCEDES-BENZ,DIESEL,V-KLASSE,19902,210.0,2020
5846,398,MERCEDES-BENZ,DIESEL,V-KLASSE,41504,218.0,2018
6104,353,MERCEDES-BENZ,DIESEL,V-KLASSE,47897,213.0,2019
6409,1505,MERCEDES-BENZ,DIESEL,VITO TOURER,10022,199.0,2020
5849,712,MERCEDES-BENZ,DIESEL,VITO TOURER,24024,207.0,2018
6105,586,MERCEDES-BENZ,DIESEL,VITO TOURER,29424,202.0,2019
7527,1508,MINI,PETROL,CLUBMAN COOPER,10010,153.0,2018
7521,1032,MINI,PETROL,COOPER,15640,147.0,2018
7588,1014,MINI,PETROL,COOPER,16018,149.0,2019
7587,993,MINI,PETROL,COOPER,16423,160.0,2019
7519,572,MINI,PETROL,COOPER,29912,141.0,2018
7584,501,MINI,PETROL,COOPER,33742,141.0,2019
7518,496,MINI,PETROL,COOPER,34308,140.0,2018
7583,493,MINI,PETROL,COOPER,34635,139.0,2019
7590,1499,MINI,PETROL,COOPER S,10061,161.0,2019
7524,1142,MINI,PETROL,COOPER S,13948,159.0,2018
7589,1023,MINI,PETROL,COOPER S,15823,155.0,2019
7783,1038,MINI,PETROL/ELECTRIC,COOPER S E ALL4,15538,58.0,2019
7522,1039,MINI,PETROL,COUNTRYMAN COOPER,15498,162.0,2018
7526,1436,MINI,PETROL,MINI,10618,147.0,2018
7523,1061,MINI,PETROL,MINI,15082,145.0,2018
7525,1275,MINI,PETROL,ONE,12230,140.0,2018
7586,803,MINI,PETROL,ONE,20933,138.0,2019
7520,714,MINI,PETROL,ONE,23988,140.0,2018
7585,631,MINI,PETROL,ONE,27617,136.0,2019
7810,1114,MITSUBISHI,PETROL,ASX,14336,151.0,2018
7846,845,MITSUBISHI,PETROL,ASX,19839,163.0,2019
7885,1383,MITSUBISHI,PETROL,MITSUBISHI ASX,11221,168.0,2020
7809,684,MITSUBISHI,PETROL,MITSUBISHI ASX,25123,152.0,2018
7844,568,MITSUBISHI,PETROL,MITSUBISHI ASX,30070,159.0,2019
7808,641,MITSUBISHI,PETROL,MITSUBISHI ECLIPSE CROSS,27070,187.0,2018
7845,585,MITSUBISHI,PETROL,MITSUBISHI ECLIPSE CROSS,29437,186.0,2019
7811,1418,MITSUBISHI,PETROL,MITSUBISHI OUTLANDER,10818,183.0,2018
7847,1361,MITSUBISHI,PETROL,MITSUBISHI OUTLANDER,11396,184.0,2019
